country,year,region,startdate,startfrac,enddate,endfrac,protesterviolence,location,participants,participantsizeindicator,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7
United Kingdom,2005,Europe,8/7/2005,2005.6,8/7/2005,2005.6,0,London,100,1,protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2005,Europe,8/16/2005,2005.62,8/16/2005,2005.62,0,"Aberdeenshire, Edinburgh, Glasgow, Dumfries",100+,1,farmers,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2005,Europe,8/19/2005,2005.63,8/19/2005,2005.63,0,Aberdeen,300,1,workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2005,Europe,9/10/2005,2005.7,9/12/2005,2005.7,1,Belfast,1000+,2,protestants,"political behavior, process",,,,crowd dispersal,arrests,,,,,
United Kingdom,2005,Europe,11/12/2005,2005.86,11/12/2005,2005.86,0,London,100s,1,pensioners,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2005,Europe,11/21/2005,2005.89,11/21/2005,2005.89,0,Glasgow,50,0,protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2005,Europe,12/18/2005,2005.96,12/18/2005,2005.96,0,"Edinburgh, Glasgow, Prestwick",150+,1,human rights campaigners,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,1/16/2006,2006.04,1/16/2006,2006.04,0,Leeds,200,1,bnp supporters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2006,Europe,1/16/2006,2006.04,1/16/2006,2006.04,0,London,1000,2,doctors,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,2/1/2006,2006.08,2/1/2006,2006.08,0,National,100s,1,stop the war coalition and military families against the war,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,3/18/2006,2006.21,3/18/2006,2006.21,0,London,15000,5,anti war protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,5/21/2006,2006.38,5/21/2006,2006.38,0,London,70,0,animal rights supporters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,6/9/2006,2006.44,6/9/2006,2006.44,0,London,100,1,muslims,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,9/7/2006,2006.68,9/7/2006,2006.68,0,London,50+,0,anti war protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,9/14/2006,2006.7,9/14/2006,2006.7,0,National,100s,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,9/17/2006,2006.71,9/17/2006,2006.71,0,London,50+,0,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,9/19/2006,2006.72,9/19/2006,2006.72,0,Edinburgh,500,1,supporters of scotland s long walk for peace,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,10/25/2006,2006.81,10/25/2006,2006.81,0,Westminster,1000+,2,national pensioners convention,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,10/29/2006,2006.82,10/29/2006,2006.82,0,London,1000s,3,students,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,12/10/2006,2006.94,12/10/2006,2006.94,0,Glasgow,60,0,positive action in housing,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2006,Europe,12/11/2006,2006.94,12/11/2006,2006.94,0,Somerset,80,0,residents,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2007,Europe,1/7/2007,2007.02,1/7/2007,2007.02,0,Argyll and Bute,50+,0,protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2007,Europe,1/9/2007,2007.02,1/9/2007,2007.02,0,London,1000,2,christians,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2007,Europe,5/7/2007,2007.35,5/7/2007,2007.35,0,Argyll and Bute,50,0,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2007,Europe,7/1/2007,2007.5,7/1/2007,2007.5,0,Bolton,100+,1,smokers,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2007,Europe,8/17/2007,2007.62,8/17/2007,2007.62,0,London,50+,0,protesters,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2007,Europe,9/4/2007,2007.67,9/4/2007,2007.67,0,London,50+,0,"rail, maritime and transport union","political behavior, process",,,,ignore,,,,,,
United Kingdom,2007,Europe,10/1/2007,2007.75,10/1/2007,2007.75,0,Argyll and Bute,500,1,protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2007,Europe,10/8/2007,2007.77,10/8/2007,2007.77,0,London,1000s,3,anti war protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2008,Europe,1/23/2008,2008.06,1/23/2008,2008.06,0,London,22500,5,police,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2008,Europe,4/20/2008,2008.3,4/20/2008,2008.3,0,London,1000s,3,ethnic catering alliance,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2008,Europe,4/29/2008,2008.33,4/29/2008,2008.33,0,London,250+,1,transaction 2007,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2008,Europe,5/1/2008,2008.33,5/1/2008,2008.33,0,Edinburgh,100+,1,students,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2008,Europe,5/27/2008,2008.4,5/27/2008,2008.4,0,London,100s,1,transaction 2007,"price increases, tax policy",,,,crowd dispersal,,,,,,
United Kingdom,2008,Europe,6/10/2008,2008.44,6/10/2008,2008.44,0,Edinburgh to Glasgow,80,0,hauliers,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2008,Europe,6/13/2008,2008.46,6/16/2008,2008.46,0,South Wales Scotland,50+,0,hauliers,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2008,Europe,9/24/2008,2008.73,9/24/2008,2008.73,0,"Edinburgh, Aberdeen, Dumfries, and Inverness",50+,0,"unison, gmb and unite unions",labor wage dispute,,,,ignore,,,,,,
United Kingdom,2008,Europe,11/2/2008,2008.84,11/2/2008,2008.84,0,Belfast,50+,0,sinn fein,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2008,Europe,12/4/2008,2008.92,12/4/2008,2008.92,0,Edinburgh,80,0,demonstrators,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,1/12/2009,2009.03,1/12/2009,2009.03,0,London,250,1,climate rush environmental group,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2009,Europe,1/30/2009,2009.08,1/30/2009,2009.08,0,National,2200+,3,workers,labor wage dispute,"political behavior, process",,,ignore,,,,,,
United Kingdom,2009,Europe,2/3/2009,2009.09,2/3/2009,2009.09,0,Fife,400,1,workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2009,Europe,2/5/2009,2009.1,2/5/2009,2009.1,0,London,100s,1,taxi drivers,labor wage dispute,"political behavior, process",,,ignore,,,,,,
United Kingdom,2009,Europe,2/16/2009,2009.13,2/16/2009,2009.13,0,London,100s,1,photographers,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/7/2009,2009.18,3/7/2009,2009.18,0,Glasgow,100s,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/8/2009,2009.18,3/8/2009,2009.18,0,London,500,1,exiled tibetans and british supporters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/10/2009,2009.19,3/10/2009,2009.19,0,London,50+,0,muslim anti war protesters,"political behavior, process",,,,arrests,crowd dispersal,,,,,
United Kingdom,2009,Europe,3/14/2009,2009.2,3/14/2009,2009.2,0,Bilston,1000,2,"protesters, mps, and union leaders","political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/14/2009,2009.2,3/14/2009,2009.2,0,Dinas Powys,150+,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/17/2009,2009.21,3/17/2009,2009.21,0,Birmingham,50+,0,"parents, students, and staff","political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,3/22/2009,2009.22,3/22/2009,2009.22,0,Liverpool,100s,1,unite the union,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2009,Europe,3/25/2009,2009.23,3/25/2009,2009.23,0,Edinburgh,50+,0,students teachers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2009,Europe,3/28/2009,2009.24,3/28/2009,2009.24,0,Liverpool,300,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,4/1/2009,2009.25,4/1/2009,2009.25,0,London,5000,4,protesters,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2009,Europe,4/1/2009,2009.25,4/1/2009,2009.25,1,London,4000,3,protesters,"political behavior, process",,,,crowd dispersal,beatings,,,,,
United Kingdom,2009,Europe,5/5/2009,2009.34,5/5/2009,2009.34,0,London,50+,0,protesters,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2009,Europe,6/9/2009,2009.44,6/9/2009,2009.44,1,London,50+,0,uaf umbrella group with anti racism groups and trade unions,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,8/28/2009,2009.67,9/3/2009,2009.67,0,Blackheath,1000s,3,climate camp,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2009,Europe,10/18/2009,2009.79,10/18/2009,2009.79,1,Nottinghamshire,1000,2,climate change demonstrators,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2009,Europe,10/22/2009,2009.81,10/22/2009,2009.81,1,London,100s,1,anti racism groups,"political behavior, process",,,,crowd dispersal,arrests,,,,,
United Kingdom,2010,Europe,1/29/2010,2010.08,1/29/2010,2010.08,0,London,100s,1,anti war protesters,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2010,Europe,4/22/2010,2010.3,4/22/2010,2010.3,0,London,50+,0,anti war protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2010,Europe,5/1/2010,2010.55,7/20/2010,2010.55,0,London,50+,0,protesters,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2010,Europe,6/21/2010,2010.47,6/21/2010,2010.47,0,National,50+,0,academics and students,"price increases, tax policy","political behavior, process",,,ignore,,,,,,
United Kingdom,2010,Europe,8/24/2010,2010.64,8/24/2010,2010.64,0,Edinburgh,500,1,protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2010,Europe,9/10/2010,2010.69,9/10/2010,2010.69,0,London,50+,0,artists,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2010,Europe,10/19/2010,2010.8,10/19/2010,2010.8,0,London,2000,3,unison union,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2010,Europe,10/23/2010,2010.81,10/23/2010,2010.81,0,Edinburgh,1000s,3,scottish trades union congress,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2010,Europe,10/27/2010,2010.82,10/27/2010,2010.82,0,London,50+,0,protesters,"price increases, tax policy","political behavior, process",,,ignore,,,,,,
United Kingdom,2010,Europe,11/7/2010,2010.85,11/7/2010,2010.85,0,Lossiemouth,6000+,4,protesters,labor wage dispute,"political behavior, process",,,ignore,,,,,,
United Kingdom,2010,Europe,11/10/2010,2010.86,11/10/2010,2010.86,1,London,52000,5,students,"price increases, tax policy","political behavior, process",,,arrests,crowd dispersal,,,,,
United Kingdom,2010,Europe,11/24/2010,2010.93,12/8/2010,2010.93,0,Leeds,60+,0,students,"price increases, tax policy","political behavior, process",,,ignore,,,,,,
United Kingdom,2010,Europe,11/24/2010,2010.9,11/24/2010,2010.9,1,National,10000+,5,students,"price increases, tax policy","political behavior, process",,,crowd dispersal,,,,,,
United Kingdom,2010,Europe,11/30/2010,2010.91,11/30/2010,2010.91,0,"London, Cambridge, Brighton, Newcastle upon Tyne, Bath, Nottingham, Bristol and Cardiff",100s,1,students,"price increases, tax policy","political behavior, process",,,arrests,crowd dispersal,,,,,
United Kingdom,2010,Europe,12/4/2010,2010.92,12/4/2010,2010.92,0,National,50+,1,uk uncut,"price increases, tax policy","political behavior, process",,,arrests,crowd dispersal,,,,,
United Kingdom,2010,Europe,12/9/2010,2010.94,12/9/2010,2010.94,1,National,10000s,5,students,"price increases, tax policy","political behavior, process",,,crowd dispersal,,,,,,
United Kingdom,2011,Europe,1/29/2011,2011.08,1/29/2011,2011.08,0,Manchester,5000,4,"university students, national union of students","political behavior, process","price increases, tax policy",,,crowd dispersal,,,,,,
United Kingdom,2011,Europe,2/17/2011,2011.13,2/17/2011,2011.13,0,Glasgow,1000s,3,"university students, faculty, staff","political behavior, process",labor wage dispute,,,ignore,,,,,,
United Kingdom,2011,Europe,3/21/2011,2011.22,3/21/2011,2011.22,0,London,>100,1,anti war demonstrators,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2011,Europe,3/22/2011,2011.22,3/22/2011,2011.22,0,Edinburgh,4000,3,students,"price increases, tax policy","political behavior, process",,,ignore,,,,,,
United Kingdom,2011,Europe,3/26/2011,2011.23,3/26/2011,2011.23,1,London,450000,5,"trades union congress, teachers, nurses and public sector workers, militants, black bloc","political behavior, process",,,,arrests,crowd dispersal,,,,,
United Kingdom,2011,Europe,4/22/2011,2011.3,4/22/2011,2011.3,1,Bristol,>300,1,squatters,police brutality,,,,crowd dispersal,beatings,,,,,
United Kingdom,2011,Europe,4/29/2011,2011.32,4/29/2011,2011.32,1,Bristol,>400,1,masked protesters,police brutality,,,,crowd dispersal,beatings,arrests,,,,
United Kingdom,2011,Europe,6/22/2011,2011.47,6/22/2011,2011.47,0,"Glasgow, Strathclyde",>50,0,"university students, university staff","price increases, tax policy","political behavior, process",,,ignore,,,,,,
United Kingdom,2011,Europe,6/30/2011,2011.49,6/30/2011,2011.49,0,"London, Glasgow, Exeter, Bristol, Nottingham, Liverpool, Manchester, Newcastle upon Tyne, Sheffield",20700+,5,teachers and public sector workers,"political behavior, process",labor wage dispute,,,ignore,,,,,,
United Kingdom,2011,Europe,8/6/2011,2011.61,8/12/2011,2011.61,1,"Tottenham, London, Manchester, Birmingham, Liverpool, Bristol, Leicester, Wolverhampton, Midlands",1000s,3,rioters,"political behavior, process",social restrictions,,,arrests,crowd dispersal,beatings,,,,
United Kingdom,2011,Europe,10/15/2011,2012.16,2/28/2012,2012.16,0,"London, Edinburgh, Bristol",2000+,3,occupy protesters,"political behavior, process",labor wage dispute,,,arrests,crowd dispersal,accomodation,,,,
United Kingdom,2011,Europe,10/18/2011,2011.85,11/7/2011,2011.85,0,Glasgow,100s,1,occupy protesters,"political behavior, process",labor wage dispute,,,accomodation,,,,,,
United Kingdom,2011,Europe,10/19/2011,2011.8,10/19/2011,2011.8,1,Basildon,50+,1,residents of an encampment,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2011,Europe,11/5/2011,2011.84,11/5/2011,2011.84,0,London,100s,1,occupy protesters,"political behavior, process",labor wage dispute,,,ignore,,,,,,
United Kingdom,2011,Europe,11/9/2011,2011.85,11/9/2011,2011.85,0,London,2500,3,students,"price increases, tax policy",,,,arrests,crowd dispersal,,,,,
United Kingdom,2011,Europe,11/10/2011,2011.86,11/10/2011,2011.86,0,London,50+,0,radical islamist group,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2011,Europe,11/29/2011,2011.91,11/29/2011,2011.91,0,Aberdeen,50+,0,students,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2011,Europe,11/30/2011,2011.91,11/30/2011,2011.91,0,Edinburgh,200,1,scotland for marriage group,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2011,Europe,11/30/2011,2011.91,11/30/2011,2011.91,0,National,10000+,5,workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2011,Europe,12/5/2011,2011.93,12/5/2011,2011.93,0,Edinburgh,50+,0,anti gay marriage activists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,3/29/2012,2012.24,3/29/2012,2012.24,0,"London, London Region",50+,0,"leyton members of the occupy movement, local action group","political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,4/28/2012,2012.32,4/28/2012,2012.32,0,Edinburgh,3000,3,cyclists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,4/28/2012,2012.32,4/28/2012,2012.32,0,"London, London Region","10,000",5,cyclists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,5/10/2012,2012.36,5/10/2012,2012.36,0,"London, London Region",430000+,5,"off duty police officers, civil servants","price increases, tax policy",labor wage dispute,,,ignore,,,,,,
United Kingdom,2012,Europe,6/4/2012,2012.42,6/4/2012,2012.42,1,"Londonderry, Ulster",200,1,ira supporters,police brutality,,,,arrests,,,,,,
United Kingdom,2012,Europe,7/13/2012,2012.53,7/13/2012,2012.53,1,Belfast,50+,0,militant catholic youths,"political behavior, process",,,,crowd dispersal,arrests,,,,,
United Kingdom,2012,Europe,7/17/2012,2012.54,7/17/2012,2012.54,0,London,200+,1,taxi drivers,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,7/27/2012,2012.57,7/27/2012,2012.57,0,London,500,1,cyclists,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2012,Europe,8/24/2012,2012.64,8/24/2012,2012.64,0,Renfrew,200,1,anti lgbt demonstrators,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,8/30/2012,2012.66,8/30/2012,2012.66,0,London,50+,0,students,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,9/2/2012,2012.67,9/4/2012,2012.67,1,Belfast,300,1,loyalists,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2012,Europe,10/12/2012,2012.78,10/12/2012,2012.78,0,London,400+,1,veterans,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,10/18/2012,2012.8,10/18/2012,2012.8,0,Belfast,400,1,anti choice demonstrators,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,11/13/2012,2012.87,11/13/2012,2012.87,0,Edinburgh,100+,1,lawyers,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2012,Europe,12/3/2012,2012.95,12/15/2012,2012.95,1,Northern Ireland,1600+,2,loyalists,"political behavior, process",,,,arrests,beatings,ignore,,,,
United Kingdom,2013,Europe,1/7/2013,2013.02,1/7/2013,2013.02,1,Belfast,>50,1,loyalists,"political behavior, process",,,,beatings,arrests,,,,,
United Kingdom,2013,Europe,1/8/2013,2013.02,1/8/2013,2013.02,0,Belfast,1000,2,loyalists,"political behavior, process",,,,crowd dispersal,arrests,,,,,
United Kingdom,2013,Europe,1/12/2013,2013.03,1/12/2013,2013.03,1,Belfast,>50,1,loyalists,"political behavior, process",,,,crowd dispersal,beatings,,,,,
United Kingdom,2013,Europe,1/26/2013,2013.07,1/26/2013,2013.07,0,South London,>50,1,nurses,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2013,Europe,2/5/2013,2013.1,2/5/2013,2013.1,0,London,100,1,gay activists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2013,Europe,3/26/2013,2013.23,3/26/2013,2013.23,0,University of Sussex,1000,2,students and lecturers,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,4/16/2013,2013.29,4/16/2013,2013.29,0,he Faslane naval base  Scotland,100,1,activists,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2013,Europe,5/25/2013,2013.39,5/25/2013,2013.39,0,Balcombe,200,1,people,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2013,Europe,7/12/2013,2013.53,7/12/2013,2013.53,1,Belfast,>50,0,"loyalists, unionists, orange order","political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,7/13/2013,2013.53,7/13/2013,2013.53,1,Belfast,>50,0,"loyalists, unionists, orange order","political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,7/14/2013,2013.53,7/14/2013,2013.53,1,Belfast,>50,0,"loyalists, unionists, orange order","political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,7/15/2013,2013.53,7/15/2013,2013.53,1,Belfast,>50,0,"loyalists, unionists, orange order","political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,7/16/2013,2013.54,7/16/2013,2013.54,0,London,100s,1,cyclists,"political behavior, process",land farm issue,,,accomodation,,,,,,
United Kingdom,2013,Europe,7/25/2013,2013.64,8/21/2013,2013.64,1,Balcombe,1000,2,"anti fracking activists, environmentalists, women, children",land farm issue,,,,crowd dispersal,accomodation,arrests,crowd dispersal,,,
United Kingdom,2013,Europe,8/9/2013,2013.6,8/9/2013,2013.6,1,Belfast,>50,0,loyalists,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2013,Europe,8/14/2013,2013.62,8/14/2013,2013.62,0,nationwide,>50,0,"passengers, business leaders and trade unions","price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2013,Europe,9/2/2013,2013.67,9/2/2013,2013.67,0,London,5000,4,cyclists,"political behavior, process",,,,accomodation,,,,,,
United Kingdom,2013,Europe,9/30/2013,2013.75,9/30/2013,2013.75,0,Manchester,1000,2,mail delivery workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2013,Europe,10/30/2013,2013.83,10/30/2013,2013.83,0,Edinburgh,>100,1,stop climate chaos scotland,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2013,Europe,11/29/2013,2013.91,11/29/2013,2013.91,0,London,>1000,2,cyclists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2014,Europe,1/8/2014,2014.02,1/8/2014,2014.02,1,London,>50,1,people,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2014,Europe,3/8/2014,2014.18,3/8/2014,2014.18,0,London,several hundreds,1,barristers and solicitors,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2014,Europe,6/11/2014,2014.44,6/11/2014,2014.44,0,London,10000,4,"black cab drivers, licensed taxi drivers association ltda",labor wage dispute,"political behavior, process",,,ignore,,,,,,
United Kingdom,2014,Europe,6/29/2014,2014.49,6/29/2014,2014.49,0,Glasgow,50+,0,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2014,Europe,7/1/2014,2014.5,7/1/2014,2014.5,0,London,100+,1,protesters,"political behavior, process",,,,accomodation,,,,,,
United Kingdom,2014,Europe,8/1/2014,2014.58,8/1/2014,2014.58,0,London,20000,5,black cab drivers,labor wage dispute,"political behavior, process",,,ignore,,,,,,
United Kingdom,2014,Europe,9/3/2014,2014.67,9/3/2014,2014.67,0,Port Seton,800,1,coastal regeneration alliance cra,"political behavior, process",land farm issue,,,ignore,,,,,,
United Kingdom,2014,Europe,9/12/2014,2014.7,9/12/2014,2014.7,0,Glasgow,50,0,anti ukip protesters,removal of politician,,,,ignore,,,,,,
United Kingdom,2014,Europe,9/14/2014,2014.7,9/14/2014,2014.7,0,Glasgow,>2000,3,yes campaign supporters,"political behavior, process",removal of politician,,,ignore,,,,,,
United Kingdom,2014,Europe,9/21/2014,2014.72,9/21/2014,2014.72,0,London,40000,5,"activists, environmentalist","political behavior, process",,,,ignore,,,,,,
United Kingdom,2014,Europe,10/18/2014,2014.79,10/18/2014,2014.79,0,London,90000,5,trades union congress,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2014,Europe,11/5/2014,2014.84,11/5/2014,2014.84,1,London,4000+,3,anti capitalists,"political behavior, process",,,,crowd dispersal,,,,,,
United Kingdom,2014,Europe,11/19/2014,2014.88,11/19/2014,2014.88,1,London,1000s,3,students,"political behavior, process","price increases, tax policy",,,crowd dispersal,arrests,,,,,
United Kingdom,2015,Europe,3/7/2015,2015.18,3/7/2015,2015.18,0,West Drayton,50+,1,asylum seekers,social restrictions,"political behavior, process",,,ignore,,,,,,
United Kingdom,2015,Europe,3/31/2015,2015.24,3/31/2015,2015.24,0,Glasgow,50+,1,protesters and children,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,4/1/2015,2015.25,4/1/2015,2015.25,0,Glasgow,1000s,3,scrap trident,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,4/13/2015,2015.28,4/13/2015,2015.28,0,Argyll and Bute,250,1,anti nuclear demonstrators,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2015,Europe,4/20/2015,2015.3,4/20/2015,2015.3,0,Glasgow,100s,1,glasgow cannabis club,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,4/25/2015,2015.31,4/25/2015,2015.31,1,South London,50+,0,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,5/9/2015,2015.35,5/9/2015,2015.35,1,London,50+,0,london black revolutionaries,"political behavior, process",,,,arrests,crowd dispersal,beatings,,,,
United Kingdom,2015,Europe,5/26/2015,2015.4,5/26/2015,2015.4,0,London,1000s,3,united cabbies group ucg,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,6/15/2015,2015.45,6/15/2015,2015.45,0,Edinburgh,50+,0,cyclists,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,6/20/2015,2015.47,6/20/2015,2015.47,0,London,1000s,3,protesters,"political behavior, process","price increases, tax policy",,,ignore,,,,,,
United Kingdom,2015,Europe,8/16/2015,2015.62,8/16/2015,2015.62,0,Edinburgh,50+,0,environmental campaigners,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,8/24/2015,2015.64,8/24/2015,2015.64,0,Edinburgh,120,1,workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2015,Europe,10/4/2015,2015.76,10/4/2015,2015.76,0,Manchester,60000,5,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,10/5/2015,2015.76,10/5/2015,2015.76,0,Manchester,100s,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,10/6/2015,2015.76,10/6/2015,2015.76,0,Manchester,100s,1,protesters,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,10/23/2015,2015.81,10/23/2015,2015.81,0,Oldbury,50+,0,workers,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2015,Europe,11/4/2015,2015.84,11/4/2015,2015.84,1,London,1000s,3,protesters and anarchist group black bloc,"price increases, tax policy",,,,crowd dispersal,arrests,,,,,
United Kingdom,2015,Europe,11/5/2015,2015.84,11/5/2015,2015.84,0,Central London,50+,1,anti capitalist protesters,"political behavior, process",,,,arrests,,,,,,
United Kingdom,2015,Europe,12/1/2015,2015.92,12/1/2015,2015.92,0,London,100s,1,stop the war,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2015,Europe,12/26/2015,2015.99,12/27/2015,2015.99,0,Edinburgh,100,1,public and commercial services union,labor wage dispute,,,,ignore,,,,,,
United Kingdom,2016,Europe,1/2/2016,2016,1/2/2016,2016,0,National,50+,1,protesters,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2016,Europe,1/4/2016,2016.01,1/4/2016,2016.01,0,Kings Cross station London,50+,0,protesters,"price increases, tax policy",,,,ignore,,,,,,
United Kingdom,2016,Europe,1/27/2016,2016.07,1/27/2016,2016.07,0,London Parliament,160,1,fishermen,"political behavior, process",,,,ignore,,,,,,
United Kingdom,2016,Europe,1/30/2016,2016.08,1/30/2016,2016.08,0,Dewsbury,120,1,britain first,"political behavior, process",social restrictions,,,ignore,,,,,,
United Kingdom,2016,Europe,1/30/2016,2016.08,1/30/2016,2016.08,0,"West Yorkshire, Dewsbury",80,0,pro immigrant protesters,"political behavior, process",social restrictions,,,ignore,,,,,,
United Kingdom,2016,Europe,1/30/2016,2016.08,1/30/2016,2016.08,1,Dover,50+,0,anti fascist protesters,"political behavior, process",social restrictions,,,arrests,,,,,,
